Date,Title,News,Author,Source
2023-09-08 12:14:00,"Gold faces headwinds amidst rising crude oil prices, strong US dollar; Fed rate hike speculation looms","By Bhavik PatelGold and silver struggled this week on account of strength in US dollar and Treasury yields. The big highlight this week was the rise in crude oil prices which is at 10 month high. This has increased inflationary pressure which means the US Fed will have to keep rates higher or perhaps one more rate hike before the end of 2023. This pushed the US dollar and yields higher leaving both gold and silver in a downward spiral. Traders are awaiting the next big US economic data point for price direction, likely to be next week’s consumer price index report for August, due out on Wednesday, September 13. $1900 is proving to be solid support for gold and whenever any correction around that zone occurs, buyers become active and start defending the levels. Because of strong USD, gold and silver markets are in bearish near-term technical postures, which are keeping the two precious metals markets bulls very timid.Yesterday the selling pressure got more ammunition as the US labor market remains fairly robust with the number of American workers applying for first-time unemployment claims dropped more than expected last week. The better-than-expected claims data is having an outsized impact on markets as it eases fears of an economic slowdown. Strong labor market indicators may lead the Federal Reserve to stick to its hawkish stance and keep interest rates higher than anticipated. This is what markets don’t want and that is there is strength in USD and Treasury yields. However after the jobs data, Gold and silver both have recovered somewhat indicating profit booking and traders trying to dip their toes and take long positions near support levels.In MCX, after 4 trading sessions of negative closing, we have seen positive opening today. It is too early to predict that support has been established but there is a flurry of buying activity near the support zone of 59,000 – 58,800. We believe fresh momentum on the downside will commence once MCX gold breaches 58,800 on the downside or COMEX gold breaches key support level of $1900. For next week, we can recommend going long around the support zone of 58,800 for an expected target of 59,400 and stoploss of 58,500. One should keep their positions light as the trend may reverse if gold breaches its level of $1900 in COMEX.(Bhavik Patel is a commodity and currency analyst at Tradebull Securities. Views expressed are the author’s own. Please consult your financial advisor before investing.)",Guest,FINANCIAL EXPRESS
2023-09-08 12:14:00,"Gold faces headwinds amidst rising crude oil prices, strong US dollar; Fed rate hike speculation looms","By Bhavik PatelGold and silver struggled this week on account of strength in US dollar and Treasury yields. The big highlight this week was the rise in crude oil prices which is at 10 month high. This has increased inflationary pressure which means the US Fed will have to keep rates higher or perhaps one more rate hike before the end of 2023. This pushed the US dollar and yields higher leaving both gold and silver in a downward spiral. Traders are awaiting the next big US economic data point for price direction, likely to be next week’s consumer price index report for August, due out on Wednesday, September 13. $1900 is proving to be solid support for gold and whenever any correction around that zone occurs, buyers become active and start defending the levels. Because of strong USD, gold and silver markets are in bearish near-term technical postures, which are keeping the two precious metals markets bulls very timid.China got more downbeat economic news as the world’s second-largest economy’s exports dropped 8.8% in August, year-on-year and contracting for a fourth consecutive month. The recent weaker China economic data is an underlying bearish element for the metals markets, on demand concerns.Yesterday the selling pressure got more ammunition as the US labor market remains fairly robust with the number of American workers applying for first-time unemployment claims dropped more than expected last week. The better-than-expected claims data is having an outsized impact on markets as it eases fears of an economic slowdown. Strong labor market indicators may lead the Federal Reserve to stick to its hawkish stance and keep interest rates higher than anticipated. This is what markets don’t want and that is there is strength in USD and Treasury yields. However after the jobs data, Gold and silver both have recovered somewhat indicating profit booking and traders trying to dip their toes and take long positions near support levels.In MCX, after 4 trading sessions of negative closing, we have seen positive opening today. It is too early to predict that support has been established but there is a flurry of buying activity near the support zone of 59,000 – 58,800. We believe fresh momentum on the downside will commence once MCX gold breaches 58,800 on the downside or COMEX gold breaches key support level of $1900. For next week, we can recommend going long around the support zone of 58,800 for an expected target of 59,400 and stoploss of 58,500. One should keep their positions light as the trend may reverse if gold breaches its level of $1900 in COMEX.(Bhavik Patel is a commodity and currency analyst at Tradebull Securities. Views expressed are the author’s own. Please consult your financial advisor before investing.)",Guest,FINANCIAL EXPRESS
2023-09-08 11:18:00,"Gold Price: MCX gold rises on US dollar’s retreat; support seen at Rs 58820-58650, resistance at Rs 59220-59410","Gold Price Today, Gold Price Outlook, Gold Price Forecast: MCX Gold prices ascended on Friday, while silver rates rose 0.44%. On the Multi Commodity Exchange, gold October futures were trading at Rs 59,130 per 10 grams, up by Rs 132 or 0.22%. Silver December futures were trading up by Rs 333 at Rs 72,083 per kg on the MCX.Gold firmed on Friday as the dollar retreated from highs but the bullion was still en route to a weekly fall as traders looked beyond a widely expected pause by the Federal Reserve this month to focus on persistently resilient US data, according to Reuters. Spot gold was up 0.3% to $1,924.98 per ounce, but set for a 0.7% weekly fall. US gold futures rose 0.3% to $1,949.“In the global currency markets, gains in the US Dollar pushed the Yen to a 10-month low and drove the euro and sterling to their weakest levels in three months, thus creating uncertainty in the bullion market. Traders are awaiting the next big US economic data point for price direction. We expect gold and silver could see some short covering in today’s session. Gold has support at $1910-1898 while resistance is at $1934-1948. Silver has support at $22.88-22.72, while resistance is at $23.28-23.45 In INR terms gold has support at Rs 58,820 – 58,650. while resistance is at Rs 59,220 – 59,410. Silver has support at Rs 71,310 – 70,750, while resistance is at Rs 72,540–73,050,” said Rahul Kalantri, VP Commodities, Mehta Equities.",Kumar Gaurav,FINANCIAL EXPRESS
2023-09-08 11:09:00,Stock market today: Asian shares track decline on Wall Street as Japan cuts GDP estimate for 2nd quarter,"Much of that growth was driven by exports, which rose nearly 13 per cent, while private consumption fell 2.2 per cent on weak investment spending. A separate report showed that wages declined in July for the 16th straight month, falling 2.5 per cent from a year earlier. Tokyo’s Nikkei 225 index dropped 0.9 per cent to 32,681.31, while the Kospi in Seoul lost 0.4 per cent to 2,537.69.Hong Kong’s markets were closed due to a tropical storm. The Shanghai Composite index pulled back 0.5 per cent to 3,105.54, while the S and P/ASX 200 fell 0.4 per cent to 7,154.50. On Thursday, Wall Street slipped in mixed trading as the threat of high interest rates continues to dog Big Tech stocks. The S and P 500 fell 0.3 per cent to 4,451.14, for its third straight loss. The Nasdaq composite was hit particularly hard by the drop for tech stocks, sinking 0.9 per cent to 13,748.83.The Dow Jones Industrial Average held up better than the rest of the market because it has less of an emphasis on tech. It rose 0.2 per cent to 34,500.73. Stocks felt pressure from the bond market, where yields rose earlier in the week after a report showed stronger growth for US services industries last month than economists expected. Yields remained high after a report on Thursday said fewer US workers applied for unemployment benefits last week than expected.While such reports are encouraging for the economy, indicating a long-predicted recession is not near, they could also keep conditions humming strongly enough to push upward on inflation.The Federal Reserve has already hiked its main interest rate to the highest level in more than two decades in hopes of slowing the economy enough to drive inflation back down to its 2 per cent target. It’s come close, and inflation has cooled from its peak above 9 per cent last summer. But the worry is that the last percentage point of improvement may be the toughest for the Fed.High interest rates drag stock prices, especially those of technology companies and others that have been bid up on expectations for high growth far in the future. Many of those stocks also tend to be the most influential on the S and P 500 because they’re the biggest. Apple, the dominant force on Wall Street because it’s the most valuable stock, fell 2.9 per cent after a 3.6 per cent drop a day before.Nvidia sank 1.7 per cent to bring its loss for the week so far to 4.7 per cent. It and a cohort of other stocks in the artificial-intelligence industry have soared this year on expectations that AI could mean explosive future growth in profits. C3.ai tumbled 12.2 per cent after it said late Wednesday that it no longer expects to be profitable in its final fiscal quarter of the year, as it invests more in opportunities around generative AI. Analysts also pointed to disappointing profit margin levels for the company during its latest quarter, which was the first of its fiscal year.Power companies and other stocks seen as steadier investments also held up better than the rest of the market. Utility stocks in the S and P 500 rose 1.3 per cent as a group. That was nearly double the gain of any of the other 10 sectors that make up the index. In other trading on Friday, US benchmark crude oil shed 48 cents to USD 86.39 a barrel in electronic trading on the New York Mercantile Exchange. It added 67 cents on Thursday. Brent crude, the pricing basis for international trading, declined 40 cents to USD 89.52 a barrel. The dollar slipped to 147.19 Japanese Yen from 147.30 late Thursday. The Euro was trading at USD 1.0718, up from USD 1.0697.",Associated Press,FINANCIAL EXPRESS
2023-09-08 10:43:00,Rupee rises 10 paise to 83.13 against US dollar,"At the interbank foreign exchange, the domestic unit opened at 83.13, registering a rise of 10 paise over its last close. On Thursday, the rupee depreciated 10 paise to its lifetime low of 83.23 against the US dollar.Forex traders expect the rupee to trade with a negative bias on a strong dollar and elevated crude oil prices. Disappointing European data may further support the dollar. The dollar index, which gauges the greenback’s strength against a basket of six currencies, fell marginally by 0.15 per cent to 104.89.Foreign Institutional Investors (FIIs) were net sellers in the capital markets on Thursday as they offloaded shares worth Rs 758.55 crore, according to exchange data.",PTI,FINANCIAL EXPRESS
2023-09-08 10:17:00,"EMS IPO opens for subscription, GMP up 56%; should you subscribe to the issue?","EMS IPO: EMS IPO opens for public subscription on Friday, 8 September, and will close on Tuesday, 12 September. The bidding for anchor investors concluded on Thursday, wherein the company collected Rs 95.37 crore. The price band for its public issue at Rs 200-211 per equity share of face value Rs 10 each. At the upper end of the price band, the company’s promoters and shareholders seek to raise Rs 321.24 crore from the IPO. Ahead of the public issue, EMS shares’ GMP rose to Rs 120 per equity share, 56.87% over the upper end of the share price on offer. The IPO comprises a fresh issue of equity shares worth Rs 146.24 crore and an Offer-For-Sale (OFS) with promoters offloading 82.4 lakh shares worth Rs 175 crore. The company intends to use the net proceeds from the IPO to bolster its capital base, catering to its future capital requirements resulting from business and asset growth. For potential investors, the bidding starts at a minimum of 70 equity shares, with subsequent bids in multiple lots of 70 equity shares each, with a maximum of 13 lots. At the upper end of the price band, the post-issue implied market-cap is Rs 1,1171 crore.EMS is engaged in the business of providing water and wastewater collection, treatment, and disposal services. The company provides Sewerage solutions, Water Supply Systems, Water and Waste Treatment Plants, Electrical Transmission and Distribution, Road and Allied works, operation and maintenance of Wastewater Scheme Projects (WWSPs) and Water Supply Scheme Projects (WSSPs) for government authorities/bodies. WWSPs include Sewage Treatment Plants (STPs) along with Sewage Network Schemes and Common Effluent Treatment Plants (CETPs) and WSSPs include Water Treatment Plants (WTPs) along with pumping stations and laying of pipelines for the supply of water.“India has 18% of the world’s total population, but only 4% of its water resources, making it among the most water-stressed countries in the world. A large number of Indians face high to extreme water stress, according to a recent report by the government’s policy think tank, the NITI Aayog. India’s dependence on an increasingly erratic monsoon for its water requirements increases this challenge. The World Bank is helping to support the government’s national groundwater program, the Atal Bhujal Yojana, to help improve groundwater management. “EMS has successfully completed 67 projects as on July 31, 2023, and gradually intends to expand its business operations to other regions of the country, especially North-East and South India. Almost all of the company’s projects are World Bank-funded through local state government bodies. This is the main reason for their robust cash flows/timely payments, and no bad debts, which helps them to take on more projects with the help of internal accruals only. As a result, there is savings in the finance cost which helps to improve the profit margin. On the upper price band, the issue is valued at a P/E of 9.1x based on FY2023 earnings, which we feel is fairly valued compared to its peers. We, therefore, recommend an SUBSCRIBE rating for the issue.”“At higher price band, EMS is demanding a P/E multiple of 10.9x (to its FY23 earning), which is at discount to the peer average. Unsustainable expansion in the urbanization seems to be putting pressure on the urban wastewater management, planning and treatment. Backed by the government’s proactive policies, the domestic water & wastewater treatment market is expanding rapidly and has strong outlook in the medium term. With a strong focus on sewage treatment segment, EMS is rightly placed to benefit from the market expansion. Its robust order book & profitability, healthy balance sheet and demanded discounted valuation makes this issue attractive. Thus, we assign a “SUBSCRIBE” rating for the issue.”(The recommendations in this story are by the respective research analysts and brokerage firms. FinancialExpress.com does not bear any responsibility for their investment advice. Capital markets investments are subject to rules and regulations. Please consult your investment advisor before investing.)",Zoya Springwala,FINANCIAL EXPRESS
2023-09-07 14:27:00,"Nifty short-term trend continues to be positive, may target 19800-19900; buy these stocks to pocket gains","By Nagaraj ShettiAfter showing a gradual upmove in the last couple of sessions, Nifty continued with upside  momentum on Wednesday amidst high volatility and closed the day higher by 36 points. After  opening with a flat note, the market has slipped into weakness in the early part of the session.  The buying has emerged from the day’s low of 19491 levels and the upside recovery got  strengthened towards the later part of the session and Nifty closed near the highs. A small positive candle was formed on the daily chart with minor upper and long lower shadow.  Technically, this pattern reflects high volatility in the market. Post the upside breakout of  crucial resistance of the down sloping trend line at 19,450 levels recently, the Nifty manages to  move up consistently with the formation of lower shadows in the last three sessions candles.  The upside breakout of trend line resistance remains intact. The short-term trend of Nifty continues to be positive. One may expect further upside in the  coming sessions. Any dips down to the immediate support of 19,500 is likely to be a buy on dips opportunity. The next upside levels to be watched are around 19,800-19,900 for the near term. Buying can be initiated in Hikal at CMP (Rs 313), add more on dips down to Rs 303, wait for  the upside targets of Rs 344 and Rs 375 in the next 3-5 weeks. Place a stoploss of Rs 289. One may look to buy Aarti drugs at CMP (Rs 611), add more on dips down to Rs 590 and  wait for the upside targets of Rs 672 and Rs 740 in the next 3-5 weeks. Place a stoploss of Rs  565.",Guest,FINANCIAL EXPRESS
2023-09-06 09:44:00,"Nifty upside target seen at 19620-19650; TCS, Bajaj Auto, Bharti Airtel among top stocks to buy","By Shrikant ChouhanThe benchmark indices continued positive momentum for the third day in a row, the Nifty ended 49 points higher while the Sensex was up by 152 points. Among Sectors, the Media index was the top gainer, rallying over 3% whereas intraday profit booking was seen in banking and selective Auto stocks. Technically, after a sharp reversal, the index is comfortably trading above 50 and 20-day SMA (Simple Moving Average), and on intraday charts it has consistently formed a higher bottom formation, which is largely positive. For the trend-following traders now, 19,500 would be the sacrosanct support zone. Above the same, the index could move up to 19,620-19,650. On the flip side, below 19,500 bulls may prefer to exit from the trading long positions. Below 19,500 the index could slip to 19,450-19,420.For the last few sessions, the counter was stuck in a range-bound movement and presently we witnessed a range breakout on a daily scale. Moreover, the closing above its resistance zone along with decent volume activity suggests that the counter has good potential for further upside in the near future.The stock has underperformed in the past few weeks and it has witnessed a downtrend. After the sharp correction from higher levels, the stock is currently trading in a range-bound mode, which indicates for accumulation at these levels. Therefore, upward movement from the current level is expected to resume in the coming sessions.The stock witnessed a gradual decline from the higher levels in the past few sessions. However, the downside seems to be restricted due to the multiple support zone. Recent reversal formation with decent volume activity indicates the counter is further gaining bullish traction. Hence, we expect the uptrend to resume from the current levels.The stock has shown a remarkable rally from the lows recently, and the trend of the stock is still in the rising direction. The higher high and higher low series on daily chart formation is evident in the stock. Hence, the formation is indicating a bullish continuation pattern to continue in the near term.(Shrikant Chouhan, Head of Equity Research (retail), Kotak Securities. Views expressed are the analyst’s own. Please consult your financial advisor before investing.)",Guest,FINANCIAL EXPRESS
2023-09-08 09:35:00,"Petrol and Diesel Rate Today, 8 September: Some cities see revision; Check rates in Delhi, Mumbai, other cities","Petrol and Diesel Rate Today in Delhi, Bangalore, Chennai, Mumbai, Hyderabad: Petrol and diesel prices were largely constant on Friday, 8 September August across New Delhi, Kolkata, Mumbai, and Chennai. Petrol rates and diesel rates have been steady over the last few months. However, individual cities see fluctuations in their prices every day. The prices of petrol and diesel change state by state, depending upon various criteria such as Value Added Tax (VAT), freight charges, local taxes, etc.The last country-wide change in fuel rates was on 21 May last year, when Finance Minister Nirmala Sitharaman slashed excise duty on petrol by Rs 8 per litre and Rs 6 per litre on diesel. Since the cut of excise duty by the central government in May 2022, some states have also reduced VAT prices on fuels, while some have imposed cess on petrol and diesel.Currently in Delhi, the price of petrol stands at Rs 96.72 per liter, while diesel is being sold at Rs 89.62 per litre. In Mumbai, petrol demands a higher price of Rs 106.31 per liter, with diesel following suit at Rs 94.27 per litre. Meanwhile, in Kolkata, the cost of petrol amounts to Rs 106.31 per liter, with diesel priced at Rs 92.76 per liter. In Chennai, petrol is available at Rs 102.63 per liter, while diesel can be obtained at Rs 94.24 per liter. Here’s a look at fuel prices in other cities:",FE Business,FINANCIAL EXPRESS
2023-09-08 09:15:00,"NSE F&O Ban: India Cements, Hindustan Copper, Delta Corp, other stocks under ban on September 8, Friday","The National Stock Exchange (NSE) banned the trading in futures and options (F&O) of nine securities on Friday, September 8, 2023. Punjab National Bank, Balrampur Chini Mills, BHEL, Delta Corp, Hindustan Copper, Indiabulls Housing Finance, India Cements, Manappuram Finance, and SAIL are the securities placed on the National Stock Exchange’s futures and options (F&O) ban for trade on Friday. According to the NSE, the stocks mentioned above are prohibited in the F&O sector because they have exceeded 95% of the market-wide position limit (MWPL). During the F&O ban period, no new positions are permitted for F&O contracts in that stock.“Nifty index is expected to find support in the 19,430-19,500 zone. In terms of options data, the highest Open Interest (OI) on the call side was observed at 19,750 followed by 19,650 strike prices, indicating potential resistance levels. On the flip side, Bank Nifty is anticipated to find support at the 44,300-44,200 range, with resistance levels at 45,400-45,500, as per OI data analysis. Overall, the market displayed resilience and bullish momentum, offering opportunities for traders and investors alike,” said Ameya Ranadive, CMT CFT, Equity Research Analyst, Choice Broking.",Kumar Gaurav,FINANCIAL EXPRESS
